respondentId,timestamp,persona,demo_parentAge,demo_education,demo_relationship,demo_childrenCount,demo_childAge,health_gender,health_weightPerception,health_infoSources,nps_score,knowledge_1,knowledge_2,knowledge_3,knowledge_4,knowledge_5,knowledge_6,knowledge_7,practices_1,practices_2,practices_3,practices_4,practices_5,practices_6,practices_7,practices_8,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5,retro_know_1,retro_prac_1,open_challenges,open_likes,open_suggestions
RESP_1771941830909_1,2026-02-12T05:37:09.929Z,"Engaged Mother / أم مهتمة","أكثر من 45 سنة",جامعي,أم,"2-3 أطفال","أقل من 3 سنوات",ذكر,طبيعي,"الأهل والأصدقاء",8,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,3,4,3,"بصراحة، تأثير الإعلانات على طفلي يجعل من الصعب إيجاد وقت للطبخ","أكثر ما أعجبني هو النصائح العملية","لا يوجد، شكراً لكم"
RESP_1771941830910_2,2026-02-07T19:03:06.392Z,"Busy Father / أب مشغول","25 – 35 سنة",جامعي,أب,"2-3 أطفال","7 – 10 سنوات",أنثى,طبيعي,"إنترنت/تواصل اجتماعي",5,4,4,3,3,3,3,3,1,3,3,3,2,1,3,2,2,3,2,4,3,1,3,"أواجه صعوبة في منع طفلي عن السكريات بسبب ضيق الوقت","رائع، خاصة التصميم الجذاب","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830910_3,2026-02-06T12:51:58.061Z,"General Parent / العينة العامة","25 – 35 سنة","دراسات عليا",أم,"2-3 أطفال","7 – 10 سنوات",ذكر,"وزن زائد","الإنترنت ومواقع التواصل الاجتماعي",4,3,3,2,2,3,4,3,3,4,4,2,3,4,2,3,2,3,1,3,3,1,2,"أواجه صعوبة في تنويع الأكل بسبب عملي لفترات طويلة","أكثر ما أعجبني هو المتابعة المستمرة","لا يوجد، شكراً لكم"
RESP_1771941830911_4,2026-01-31T12:35:20.066Z,"Engaged Mother / أم مهتمة","أكثر من 45 سنة",جامعي,أم,"طفل واحد","11 – 14 سنة",أنثى,"لا أعلم","الإنترنت ومواقع التواصل الاجتماعي",4,4,3,4,4,4,5,4,5,4,4,4,5,4,5,5,2,2,3,3,2,4,2,"أواجه صعوبة في تحديد الكميات المناسبة بسبب قلة الخيارات المتاحة","استفدت كثيراً من المعلومات القيمة و {feature}","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830912_5,2026-02-19T02:30:19.128Z,"Engaged Mother / أم مهتمة","25 – 35 سنة","دبلوم متوسط",أم,"2-3 أطفال","3 – 6 سنوات",أنثى,"نحيف جداً","أخصائي تغذية",0,5,3,4,4,4,4,5,5,5,5,5,3,3,5,3,2,3,2,2,3,3,4,"المشكلة الأساسية هي توفير وجبات صحية","أكثر ما أعجبني هو النصائح العملية","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830913_6,2026-02-13T16:37:01.246Z,"Busy Father / أب مشغول","أكثر من 45 سنة",ثانوي,أب,"طفل واحد","3 – 6 سنوات",أنثى,طبيعي,"إنترنت/تواصل اجتماعي",5,3,4,3,4,4,3,2,3,1,2,3,3,3,2,3,4,2,4,3,3,1,1,"بصراحة، عملي لفترات طويلة يجعل من الصعب تحديد الكميات المناسبة","رائع، خاصة التصميم الجذاب","سيكون أفضل لو تم وصفات صحية سريعة"
RESP_1771941830913_7,2026-01-31T19:32:01.913Z,"Engaged Mother / أم مهتمة","أقل من 25 سنة","دراسات عليا",أم,"2-3 أطفال","3 – 6 سنوات",أنثى,"لا أعلم","الإنترنت ومواقع التواصل الاجتماعي",10,4,4,4,4,3,4,3,3,3,5,3,3,4,5,4,5,5,5,5,5,3,4,"بصراحة، عملي لفترات طويلة يجعل من الصعب منع طفلي عن السكريات","أكثر ما أعجبني هو النصائح العملية","سيكون أفضل لو تم تطبيق للهواتف"
RESP_1771941830913_8,2026-02-16T02:15:23.571Z,"Engaged Mother / أم مهتمة","أقل من 25 سنة","دراسات عليا",أم,"2-3 أطفال","7 – 10 سنوات",أنثى,"وزن زائد","الإنترنت ومواقع التواصل الاجتماعي",2,4,4,4,4,4,4,4,5,4,5,5,4,4,4,5,2,3,1,2,2,4,3,"أواجه صعوبة في منع طفلي عن السكريات بسبب تأثير الإعلانات على طفلي","استفدت كثيراً من المعلومات القيمة و {feature}","أتمنى إضافة وصفات صحية سريعة"
RESP_1771941830913_9,2026-02-15T16:54:32.303Z,"Engaged Mother / أم مهتمة","36 – 45 سنة",ثانوي,أم,"طفل واحد","3 – 6 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",2,3,3,4,5,4,5,4,4,5,3,4,5,5,4,4,3,2,2,2,1,2,2,"أواجه صعوبة في توفير وجبات صحية بسبب عملي لفترات طويلة","أكثر ما أعجبني هو المعلومات القيمة","أتمنى إضافة استشارات مباشرة مع أطباء"
RESP_1771941830913_10,2026-01-29T15:04:30.770Z,"Engaged Mother / أم مهتمة","25 – 35 سنة","دبلوم متوسط",أم,"2-3 أطفال","3 – 6 سنوات",أنثى,"وزن زائد","طبيب أطفال",10,5,3,4,5,4,4,5,3,4,4,3,4,4,4,3,5,5,5,5,4,4,3,"بصراحة، عملي لفترات طويلة يجعل من الصعب توفير وجبات صحية","استفدت كثيراً من النصائح العملية و {feature}","أتمنى إضافة استشارات مباشرة مع أطباء"
