respondentId,timestamp,persona,demo_parentAge,demo_education,demo_relationship,demo_childrenCount,demo_childAge,health_gender,health_weightPerception,health_infoSources,nps_score,knowledge_1,knowledge_2,knowledge_3,knowledge_4,knowledge_5,knowledge_6,knowledge_7,practices_1,practices_2,practices_3,practices_4,practices_5,practices_6,practices_7,practices_8,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5,retro_know_1,retro_prac_1,open_challenges,open_likes,open_suggestions
HxtzewwcsUyS6tMMNDZz,2026-01-29T14:13:14.232Z,"Engaged Mother / أم مهتمة","أكثر من 45 سنة",ثانوي,أم,"2-3 أطفال","أقل من 3 سنوات",أنثى,طبيعي,"طبيب أطفال",7,3,4,4,4,4,5,4,4,4,5,5,5,4,5,3,4,4,4,4,5,3,3,"المشكلة الأساسية هي تنويع الأكل","رائع، خاصة المعلومات القيمة","أتمنى إضافة استشارات مباشرة مع أطباء"
P5AIs64Bp67v2epGKNjV,2026-02-14T19:54:58.750Z,"General Parent / العينة العامة","أقل من 25 سنة","دبلوم متوسط",أب,"2-3 أطفال","3 – 6 سنوات",أنثى,طبيعي,"طبيب أطفال",4,3,4,4,3,3,3,3,3,3,4,4,2,3,3,4,2,1,1,2,2,3,2,"بصراحة، ضيق الوقت يجعل من الصعب تنويع الأكل","أكثر ما أعجبني هو التقييم الشامل","لا يوجد، شكراً لكم"
0cP88YgZWIbzBkBX7bSp,2026-02-10T13:19:13.433Z,"Busy Father / أب مشغول","أقل من 25 سنة","دراسات عليا",أب,"2-3 أطفال","أكبر من 14 سنة",ذكر,"وزن زائد","إنترنت/تواصل اجتماعي",4,4,4,4,4,2,3,3,1,2,2,2,2,1,2,3,3,1,1,2,3,3,1,"بصراحة، ارتفاع الأسعار يجعل من الصعب تنويع الأكل","أكثر ما أعجبني هو التصميم الجذاب","سيكون أفضل لو تم وصفات صحية سريعة"
UMMrlxddw2qEIVRw1Dol,2026-02-12T10:55:02.502Z,"General Parent / العينة العامة","25 – 35 سنة",جامعي,أم,"2-3 أطفال","7 – 10 سنوات",ذكر,"نحيف جداً","طبيب أطفال",7,4,3,3,3,3,3,3,3,3,2,4,4,2,3,4,4,4,5,4,4,2,3,"أواجه صعوبة في إقناع طفلي بأكل الخضراوات بسبب قلة الخيارات المتاحة","رائع، خاصة سهولة الاستخدام","أتمنى إضافة فيديوهات توضيحية أكثر"
aV17LRZZGDYCdw2vN3ID,2026-01-29T13:51:40.417Z,"General Parent / العينة العامة","36 – 45 سنة","دبلوم متوسط",أم,"4 أطفال فأكثر","3 – 6 سنوات",ذكر,"وزن زائد","الإنترنت ومواقع التواصل الاجتماعي",6,4,4,3,4,2,4,3,3,3,3,2,3,3,3,2,3,2,4,2,3,3,2,"بصراحة، تأثير الإعلانات على طفلي يجعل من الصعب توفير وجبات صحية","رائع، خاصة المعلومات القيمة","سيكون أفضل لو تم استشارات مباشرة مع أطباء"
dxMLj4l8BG4cDo6zd7EA,2026-02-09T23:13:51.395Z,"Busy Father / أب مشغول","36 – 45 سنة",ثانوي,أب,"طفل واحد","أكبر من 14 سنة",ذكر,"وزن زائد","إنترنت/تواصل اجتماعي",5,2,4,3,3,4,2,3,3,2,3,2,2,2,2,3,3,3,3,4,2,3,2,"المشكلة الأساسية هي تنويع الأكل","رائع، خاصة النصائح العملية","أتمنى إضافة تطبيق للهواتف"
FEPYYW5MFxf7vW5W5UvC,2026-02-10T16:48:19.898Z,"General Parent / العينة العامة","36 – 45 سنة",جامعي,أم,"2-3 أطفال","7 – 10 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",2,2,4,3,3,4,2,2,3,4,4,3,3,4,4,2,2,2,3,3,2,3,1,"المشكلة الأساسية هي تحديد الكميات المناسبة","رائع، خاصة المتابعة المستمرة","أتمنى إضافة تطبيق للهواتف"
JeS9yu7ZQJJodswCjlNA,2026-02-23T15:42:52.824Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",جامعي,أم,"2-3 أطفال","أكبر من 14 سنة",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",4,5,3,5,4,3,4,3,5,3,5,4,5,5,3,4,3,1,2,2,3,4,4,"أواجه صعوبة في تحديد الكميات المناسبة بسبب ضيق الوقت","استفدت كثيراً من المتابعة المستمرة و {feature}","أتمنى إضافة استشارات مباشرة مع أطباء"
XWIRlMVXf71M43LxP5pw,2026-02-17T12:49:55.160Z,"Engaged Mother / أم مهتمة","25 – 35 سنة",جامعي,أم,"طفل واحد","11 – 14 سنة",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",3,4,4,4,4,3,4,3,4,4,4,3,5,5,4,5,2,3,2,2,1,3,3,"بصراحة، تأثير الإعلانات على طفلي يجعل من الصعب إيجاد وقت للطبخ","استفدت كثيراً من النصائح العملية و {feature}","سيكون أفضل لو تم تطبيق للهواتف"
BkY8N1N6VjiM5F5bX4qT,2026-01-29T08:28:12.718Z,"General Parent / العينة العامة","25 – 35 سنة",ثانوي,أم,"2-3 أطفال","3 – 6 سنوات",أنثى,طبيعي,"الإنترنت ومواقع التواصل الاجتماعي",1,3,3,3,4,4,4,4,3,3,4,2,4,3,3,3,2,1,2,2,2,2,1,"بصراحة، عدم تقبل الطفل للمذاق الجديد يجعل من الصعب تحديد الكميات المناسبة","استفدت كثيراً من سهولة الاستخدام و {feature}","سيكون أفضل لو تم استشارات مباشرة مع أطباء"
